trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
131-UP,131-UP,everyday,Lashio,Mandalay to Lashio,0,,,0
132-DN,132-DN,everyday,Mandalay,Lashio to Mandalay,0,,,0
135-UP,135-UP,everyday,Pakokku,Mandalay to Pakokku,0,,,0
136-DN,136-DN,everyday,Mandalay,Pakokku to Mandalay,0,,,0
139-UP,139-UP,everyday,Kalay,Gant gaw to Kalay,0,,,0
140-DN,140-DN,everyday,Gant gaw,Kalay to Gant gaw,0,,,0
141-UP,141-UP,everyday,Shwe Nyaung,Thazi to Shwe Nyaung,0,,,0
142-DN,142-DN,everyday,Thazi,Shwe Nyaung to Thazi,0,,,0
143-UP,143-UP,everyday,Yak Sawk,Thazi to Yak Sawk,0,,,0
144-DN,144-DN,everyday,Thazi,Yak Sawk to Thazi,0,,,0
147-UP,147-UP,everyday,Loikaw,Thazi to Loikaw,0,,,0
148-DN,148-DN,everyday,Thazi,Loikaw to Thazi,0,,,0
149-UP,149-UP,everyday,Pinlaung,Aungban to Pinlaung,0,,,0
150-DN,150-DN,everyday,Aungban,Pinlaung to Aungban,0,,,0
151-UP,151-UP,everyday,Namsam,Moene to Namsam,0,,,0
152-DN,152-DN,everyday,Moene,Namsam to Moene,0,,,0
153-UP,153-UP,everyday,Htiye,Taunggyi to Htiye,0,,,0
154-DN,154-DN,everyday,Taunggyi,Htiye to Taunggyi,0,,,0
155-UP,155-UP,everyday,Namsam,Taunggyi to Namsam,0,,,0
156-DN,156-DN,everyday,Taunggyi,Namsam to Taunggyi,0,,,0
171-UP,171-UP,everyday,Ye,Mawlamying to Ye,0,,,0
172-DN,172-DN,everyday,Mawlamying,Ye to Mawlamying,0,,,0
173-UP,173-UP,everyday,Ye,Mawlamying to Ye,0,,,0
174-DN,174-DN,everyday,Mawlamying,Ye to Mawlamying,0,,,0
175-UP,175-UP,everyday,Tavoy,Yangon to Tavoy,0,,,0
176-DN,176-DN,everyday,Yangon,Tavoy to Yangon,0,,,0
181-UP,181-UP,everyday,Kyan kyin,Pathein to Kyan kyin,0,,,0
182-DN,182-DN,everyday,Pathein,Kyan kyin to Pathein,0,,,0
183-UP,183-UP,everyday,Okshitpin,Hinthada to Okshitpin,0,,,0
